Lecture_ID,Lecture_Link,Attendance_Type,Password
Sistem Operasi,https://spada.upnyk.ac.id/mod/attendance/view.php?id=809875,2,
Praktikum Internet of Things (IoT),https://spada.upnyk.ac.id/mod/attendance/view.php?id=818499,2,
Praktikum Data Science,https://spada.upnyk.ac.id/mod/attendance/view.php?id=817797,2,
Manajemen Proyek Perangkat Lunak,https://spada.upnyk.ac.id/mod/attendance/view.php?id=808322,2,
Kriptografi,https://spada.upnyk.ac.id/mod/attendance/view.php?id=812142,2,
Kapita Selekta,https://spada.upnyk.ac.id/mod/attendance/view.php?id=812006,2,
Internet of Things (IoT),https://spada.upnyk.ac.id/mod/attendance/view.php?id=807814,2,
Global Positioning System,https://spada.upnyk.ac.id/mod/attendance/view.php?id=807627,2,
Data Science,https://spada.upnyk.ac.id/mod/attendance/view.php?id=809101,2,
Administrasi Server,https://spada.upnyk.ac.id/mod/attendance/view.php?id=807431,2,
Pengolahan Citra,https://spada.upnyk.ac.id/course/view.php?id=54566,2,
